id,transaction_id,item,item_category,quantity,price_per_unit,total_spent,spending_category,payment_method,payment_type,location,transaction_date,transaction_month,transaction_day,day_type
53,TXN_2181545,Juice,Drink,4,3,12.00,Medium,"Credit Card",Electronic,Takeaway,2023-07-14,July,Friday,Weekday
54,TXN_1150033,Juice,Drink,5,3,15.00,High,Cash,Cash,In-store,2023-04-18,April,Tuesday,Weekday
55,TXN_1443912,Juice,Drink,2,3,6.00,Medium,Unknown,Unknown,Unknown,2023-06-08,June,Thursday,Weekday
56,TXN_8700451,Tea,Drink,5,1.5,7.50,Medium,"Credit Card",Electronic,Takeaway,2023-12-12,December,Tuesday,Weekday
57,TXN_6380550,Coffee,Drink,5,2,10.00,Medium,Cash,Cash,In-store,2023-01-05,January,Thursday,Weekday
58,TXN_4885518,Salad,Food,3,5,15.00,High,"Credit Card",Electronic,In-store,2023-06-10,June,Saturday,Weekend
59,TXN_3567645,Smoothie,Drink,4,4,16.00,High,"Credit Card",Electronic,Takeaway,2023-03-30,March,Thursday,Weekday
60,TXN_3972167,Sandwich,Food,5,4,20.00,High,Unknown,Unknown,In-store,2023-01-23,January,Monday,Weekday
61,TXN_5132361,Sandwich,Food,3,4,12.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-12-01,December,Friday,Weekday
62,TXN_4878378,Tea,Drink,1,1.5,1.50,Low,"Credit Card",Electronic,Unknown,2023-02-20,February,Monday,Weekday
63,TXN_2616390,Sandwich,Food,2,4,8.00,Medium,Unknown,Unknown,Unknown,2023-09-18,September,Monday,Weekday
64,TXN_2368126,Cake,Dessert,5,3,15.00,High,Unknown,Unknown,In-store,2023-12-06,December,Wednesday,Weekday
65,TXN_9400181,Sandwich,Food,5,4,20.00,High,Cash,Cash,In-store,2023-06-03,June,Saturday,Weekend
67,TXN_7958992,Smoothie,Drink,3,4,12.00,Medium,Unknown,Unknown,Unknown,2023-12-13,December,Wednesday,Weekday
68,TXN_8495063,Juice,Drink,1,3,3.00,Low,Cash,Cash,Unknown,2023-05-31,May,Wednesday,Weekday
69,TXN_5183041,Cookie,Dessert,5,1,5.00,Medium,"Credit Card",Electronic,In-store,2023-04-20,April,Thursday,Weekday
70,TXN_4811133,Salad,Food,2,5,10.00,Medium,Cash,Cash,Unknown,2023-08-11,August,Friday,Weekday
71,TXN_5695074,Juice,Drink,4,3,12.00,Medium,"Credit Card",Electronic,Takeaway,2023-04-10,April,Monday,Weekday
72,TXN_8729570,Tea,Drink,5,1.5,7.50,Medium,Unknown,Unknown,In-store,2023-09-03,September,Sunday,Weekend
73,TXN_7623634,Cake,Dessert,2,3,6.00,Medium,"Credit Card",Electronic,In-store,2023-07-11,July,Tuesday,Weekday
74,TXN_3424331,Cake,Dessert,4,3,12.00,Medium,Unknown,Unknown,Unknown,2023-01-18,January,Wednesday,Weekday
75,TXN_8467949,Smoothie,Drink,5,4,20.00,High,"Credit Card",Electronic,Unknown,2023-03-11,March,Saturday,Weekend
76,TXN_5072031,Cake,Dessert,2,3,6.00,Medium,Cash,Cash,Takeaway,2023-03-23,March,Thursday,Weekday
78,TXN_8687151,Salad,Food,5,5,25.00,High,Cash,Cash,Unknown,2023-06-10,June,Saturday,Weekend
79,TXN_5265095,Coffee,Drink,1,2,2.00,Low,Unknown,Unknown,Unknown,2023-06-23,June,Friday,Weekday
80,TXN_4108138,Coffee,Drink,5,2,10.00,Medium,Cash,Cash,Unknown,2023-08-03,August,Thursday,Weekday
81,TXN_1909796,Smoothie,Drink,2,4,8.00,Medium,Unknown,Unknown,Takeaway,2023-07-12,July,Wednesday,Weekday
82,TXN_1928241,Coffee,Drink,3,2,6.00,Medium,Cash,Cash,In-store,2023-04-30,April,Sunday,Weekend
83,TXN_1736287,Unknown,Unknown,5,2,10.00,Medium,"Digital Wallet",Electronic,Unknown,2023-06-02,June,Friday,Weekday
84,TXN_4283157,Salad,Food,5,5,25.00,High,"Digital Wallet",Electronic,In-store,2023-11-25,November,Saturday,Weekend
85,TXN_8927252,Unknown,Unknown,2,1,2.00,Low,"Credit Card",Electronic,Unknown,2023-11-06,November,Monday,Weekday
86,TXN_8013032,Coffee,Drink,2,2,4.00,Low,"Credit Card",Electronic,Unknown,2023-03-07,March,Tuesday,Weekday
87,TXN_9677376,Smoothie,Drink,4,4,16.00,High,Unknown,Unknown,In-store,2023-08-15,August,Tuesday,Weekday
88,TXN_8301424,Juice,Drink,2,3,6.00,Medium,Unknown,Unknown,Unknown,2023-06-27,June,Tuesday,Weekday
91,TXN_8853997,Smoothie,Drink,2,4,8.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-10-09,October,Monday,Weekday
92,TXN_1631695,Tea,Drink,2,1.5,3.00,Low,Unknown,Unknown,In-store,2023-09-19,September,Tuesday,Weekday
93,TXN_3226832,Unknown,Unknown,5,4,20.00,High,Cash,Cash,Unknown,2023-09-04,September,Monday,Weekday
94,TXN_1648671,Sandwich,Food,3,4,12.00,Medium,Cash,Cash,Takeaway,2023-05-21,May,Sunday,Weekend
95,TXN_9130559,Sandwich,Food,1,4,4.00,Low,"Credit Card",Electronic,Unknown,2023-05-28,May,Sunday,Weekend
96,TXN_4062737,Cake,Dessert,3,3,9.00,Medium,Cash,Cash,In-store,2023-07-02,July,Sunday,Weekend
97,TXN_3494565,Unknown,Unknown,2,4,8.00,Medium,Unknown,Unknown,Unknown,2023-07-10,July,Monday,Weekday
98,TXN_9249507,Cookie,Dessert,4,1,4.00,Low,"Credit Card",Electronic,In-store,2023-11-21,November,Tuesday,Weekday
99,TXN_6855453,Unknown,Unknown,4,3,12.00,Medium,Unknown,Unknown,In-store,2023-07-17,July,Monday,Weekday
100,TXN_4689500,Sandwich,Food,4,4,16.00,High,Unknown,Unknown,Unknown,2023-12-02,December,Saturday,Weekend
101,TXN_1080432,Salad,Food,2,5,10.00,Medium,"Credit Card",Electronic,In-store,2023-04-29,April,Saturday,Weekend
102,TXN_2655815,Smoothie,Drink,4,4,16.00,High,Unknown,Unknown,Takeaway,2023-06-08,June,Thursday,Weekday
103,TXN_8989148,Tea,Drink,2,1.5,3.00,Low,Unknown,Unknown,Unknown,2023-11-25,November,Saturday,Weekend
104,TXN_6688524,Coffee,Drink,4,2,8.00,Medium,Unknown,Unknown,Unknown,2023-06-29,June,Thursday,Weekday
105,TXN_8316826,Coffee,Drink,3,2,6.00,Medium,Unknown,Unknown,In-store,2023-04-17,April,Monday,Weekday
106,TXN_2083138,Smoothie,Drink,3,4,12.00,Medium,Unknown,Unknown,In-store,2023-04-17,April,Monday,Weekday
107,TXN_9836934,Cookie,Dessert,3,1,3.00,Low,"Digital Wallet",Electronic,In-store,2023-03-13,March,Monday,Weekday
108,TXN_2427584,Sandwich,Food,4,4,16.00,High,Unknown,Unknown,Takeaway,2023-12-22,December,Friday,Weekday
109,TXN_8005489,Cake,Dessert,3,3,9.00,Medium,Unknown,Unknown,In-store,2023-08-12,August,Saturday,Weekend
111,TXN_6650263,Tea,Drink,2,1.5,3.00,Low,Unknown,Unknown,Takeaway,2023-01-10,January,Tuesday,Weekday
112,TXN_3925836,Cookie,Dessert,3,1,3.00,Low,"Digital Wallet",Electronic,In-store,2023-02-16,February,Thursday,Weekday
113,TXN_9620080,Juice,Drink,4,3,12.00,Medium,Unknown,Unknown,Takeaway,2023-10-02,October,Monday,Weekday
114,TXN_3978874,Smoothie,Drink,5,4,20.00,High,"Credit Card",Electronic,In-store,2023-03-13,March,Monday,Weekday
115,TXN_8955912,Sandwich,Food,1,4,4.00,Low,Unknown,Unknown,Unknown,2023-11-07,November,Tuesday,Weekday
116,TXN_1136554,Smoothie,Drink,3,4,12.00,Medium,Unknown,Unknown,Takeaway,2023-03-26,March,Sunday,Weekend
117,TXN_8007337,Cake,Dessert,2,3,6.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-11-01,November,Wednesday,Weekday
118,TXN_8129834,Salad,Food,1,5,5.00,Medium,Cash,Cash,Unknown,2023-07-22,July,Saturday,Weekend
119,TXN_3831848,Unknown,Unknown,1,4,4.00,Low,"Digital Wallet",Electronic,Takeaway,2023-11-03,November,Friday,Weekday
120,TXN_5365809,Cake,Dessert,3,3,9.00,Medium,Cash,Cash,In-store,2023-09-14,September,Thursday,Weekday
121,TXN_6629480,Smoothie,Drink,5,4,20.00,High,"Credit Card",Electronic,In-store,2023-02-28,February,Tuesday,Weekday
122,TXN_1491578,Cookie,Dessert,2,1,2.00,Low,Unknown,Unknown,Unknown,2023-02-23,February,Thursday,Weekday
123,TXN_3833797,Coffee,Drink,4,2,8.00,Medium,Unknown,Unknown,In-store,2023-01-27,January,Friday,Weekday
124,TXN_5455792,Salad,Food,3,5,15.00,High,Cash,Cash,Unknown,2023-03-22,March,Wednesday,Weekday
125,TXN_2996519,Cake,Dessert,5,3,15.00,High,Cash,Cash,Unknown,2023-01-19,January,Thursday,Weekday
126,TXN_8078640,Juice,Drink,4,3,12.00,Medium,"Digital Wallet",Electronic,In-store,2023-11-03,November,Friday,Weekday
127,TXN_8810894,Smoothie,Drink,1,4,4.00,Low,Unknown,Unknown,Unknown,2023-02-20,February,Monday,Weekday
128,TXN_9499313,Juice,Drink,5,3,15.00,High,Unknown,Unknown,Unknown,2023-03-02,March,Thursday,Weekday
129,TXN_7412722,Juice,Drink,4,3,12.00,Medium,Cash,Cash,In-store,2023-04-07,April,Friday,Weekday
130,TXN_8201146,Juice,Drink,5,3,15.00,High,Cash,Cash,Unknown,2023-06-26,June,Monday,Weekday
131,TXN_3937509,Smoothie,Drink,2,4,8.00,Medium,Unknown,Unknown,In-store,2023-03-20,March,Monday,Weekday
132,TXN_6000201,Cookie,Dessert,3,1,3.00,Low,Cash,Cash,Takeaway,2023-02-16,February,Thursday,Weekday
133,TXN_8230936,Cake,Dessert,3,3,9.00,Medium,Unknown,Unknown,Unknown,2023-05-02,May,Tuesday,Weekday
134,TXN_1714274,Cookie,Dessert,4,1,4.00,Low,Unknown,Unknown,In-store,2023-12-27,December,Wednesday,Weekday
135,TXN_7742742,Cake,Dessert,5,3,15.00,High,Unknown,Unknown,Takeaway,2023-09-05,September,Tuesday,Weekday
136,TXN_5115080,Unknown,Unknown,5,3,15.00,High,"Credit Card",Electronic,Unknown,2023-02-18,February,Saturday,Weekend
137,TXN_6342161,Salad,Food,5,5,25.00,High,Unknown,Unknown,Takeaway,2023-01-08,January,Sunday,Weekend
138,TXN_8914892,Unknown,Unknown,5,5,25.00,High,"Digital Wallet",Electronic,Unknown,2023-03-15,March,Wednesday,Weekday
139,TXN_6311602,Juice,Drink,3,3,9.00,Medium,"Credit Card",Electronic,Unknown,2023-05-15,May,Monday,Weekday
140,TXN_3363746,Smoothie,Drink,3,4,12.00,Medium,"Credit Card",Electronic,Unknown,2023-11-25,November,Saturday,Weekend
141,TXN_2950680,Coffee,Drink,2,2,4.00,Low,"Credit Card",Electronic,Takeaway,2023-12-10,December,Sunday,Weekend
142,TXN_8614868,Smoothie,Drink,5,4,20.00,High,"Digital Wallet",Electronic,Takeaway,2023-12-05,December,Tuesday,Weekday
143,TXN_6749847,Cake,Dessert,2,3,6.00,Medium,"Credit Card",Electronic,Unknown,2023-08-15,August,Tuesday,Weekday
144,TXN_6421134,Sandwich,Food,4,4,16.00,High,Cash,Cash,Takeaway,2023-11-03,November,Friday,Weekday
145,TXN_2143187,Smoothie,Drink,1,4,4.00,Low,Unknown,Unknown,In-store,2023-04-21,April,Friday,Weekday
146,TXN_8964522,Unknown,Unknown,3,3,9.00,Medium,"Credit Card",Electronic,Takeaway,2023-10-28,October,Saturday,Weekend
147,TXN_8813311,Juice,Drink,5,3,15.00,High,Unknown,Unknown,In-store,2023-10-07,October,Saturday,Weekend
148,TXN_4088917,Coffee,Drink,3,2,6.00,Medium,Cash,Cash,Takeaway,2023-02-04,February,Saturday,Weekend
149,TXN_3779366,Cookie,Dessert,1,1,1.00,Low,"Digital Wallet",Electronic,In-store,2023-04-15,April,Saturday,Weekend
150,TXN_9023317,Salad,Food,1,5,5.00,Medium,Unknown,Unknown,Unknown,2023-09-30,September,Saturday,Weekend
151,TXN_7724048,Smoothie,Drink,1,4,4.00,Low,Unknown,Unknown,In-store,2023-11-12,November,Sunday,Weekend
152,TXN_8051289,Unknown,Unknown,1,3,3.00,Low,Unknown,Unknown,In-store,2023-10-09,October,Monday,Weekday
153,TXN_2698591,Tea,Drink,5,1.5,7.50,Medium,Unknown,Unknown,Unknown,2023-08-05,August,Saturday,Weekend
154,TXN_2537617,Sandwich,Food,1,4,4.00,Low,Cash,Cash,Unknown,2023-05-27,May,Saturday,Weekend
155,TXN_9099694,Unknown,Unknown,3,5,15.00,High,Unknown,Unknown,Takeaway,2023-11-18,November,Saturday,Weekend
156,TXN_3171373,Smoothie,Drink,3,4,12.00,Medium,"Credit Card",Electronic,In-store,2023-05-10,May,Wednesday,Weekday
158,TXN_9230615,Smoothie,Drink,4,4,16.00,High,"Digital Wallet",Electronic,Unknown,2023-06-01,June,Thursday,Weekday
159,TXN_3068204,Cookie,Dessert,1,1,1.00,Low,"Credit Card",Electronic,Takeaway,2023-10-03,October,Tuesday,Weekday
160,TXN_6498163,Smoothie,Drink,5,4,20.00,High,Unknown,Unknown,In-store,2023-07-15,July,Saturday,Weekend
161,TXN_6717827,Unknown,Unknown,3,5,15.00,High,"Digital Wallet",Electronic,Unknown,2023-11-15,November,Wednesday,Weekday
162,TXN_3857960,Salad,Food,4,5,20.00,High,Cash,Cash,In-store,2023-04-26,April,Wednesday,Weekday
163,TXN_8471743,Unknown,Unknown,5,3,15.00,High,"Digital Wallet",Electronic,In-store,2023-04-06,April,Thursday,Weekday
164,TXN_3499124,Unknown,Unknown,4,4,16.00,High,"Credit Card",Electronic,Unknown,2023-08-25,August,Friday,Weekday
165,TXN_2621580,Tea,Drink,2,1.5,3.00,Low,Cash,Cash,In-store,2023-03-22,March,Wednesday,Weekday
166,TXN_9250710,Salad,Food,1,5,5.00,Medium,Cash,Cash,In-store,2023-05-28,May,Sunday,Weekend
167,TXN_7058377,Juice,Drink,1,3,3.00,Low,Unknown,Unknown,Takeaway,2023-04-30,April,Sunday,Weekend
168,TXN_6766492,Salad,Food,1,5,5.00,Medium,Unknown,Unknown,Unknown,2023-01-14,January,Saturday,Weekend
169,TXN_9879996,Coffee,Drink,4,2,8.00,Medium,"Digital Wallet",Electronic,In-store,2023-03-01,March,Wednesday,Weekday
170,TXN_4291940,Cake,Dessert,3,3,9.00,Medium,"Credit Card",Electronic,In-store,2023-11-13,November,Monday,Weekday
171,TXN_4726376,Cake,Dessert,2,3,6.00,Medium,"Credit Card",Electronic,In-store,2023-01-31,January,Tuesday,Weekday
172,TXN_7433461,Cookie,Dessert,2,1,2.00,Low,"Digital Wallet",Electronic,Unknown,2023-07-09,July,Sunday,Weekend
173,TXN_4068262,Salad,Food,2,5,10.00,Medium,"Credit Card",Electronic,Unknown,2023-05-13,May,Saturday,Weekend
174,TXN_6044979,Unknown,Unknown,1,1,1.00,Low,Cash,Cash,In-store,2023-12-08,December,Friday,Weekday
176,TXN_4238417,Salad,Food,2,5,10.00,Medium,Unknown,Unknown,Unknown,2023-06-19,June,Monday,Weekday
177,TXN_5047447,Salad,Food,1,5,5.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-12-27,December,Wednesday,Weekday
178,TXN_1900620,Smoothie,Drink,2,4,8.00,Medium,"Credit Card",Electronic,Unknown,2023-12-14,December,Thursday,Weekday
179,TXN_6623508,Cookie,Dessert,5,1,5.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-05-18,May,Thursday,Weekday
180,TXN_6420335,Coffee,Drink,1,2,2.00,Low,Cash,Cash,Takeaway,2023-07-16,July,Sunday,Weekend
181,TXN_2651216,Unknown,Unknown,3,4,12.00,Medium,Unknown,Unknown,Unknown,2023-04-04,April,Tuesday,Weekday
182,TXN_8377564,Cake,Dessert,5,3,15.00,High,Unknown,Unknown,In-store,2023-07-14,July,Friday,Weekday
183,TXN_7031118,Salad,Food,1,5,5.00,Medium,"Credit Card",Electronic,Unknown,2023-03-29,March,Wednesday,Weekday
184,TXN_2230167,Cake,Dessert,4,3,12.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-09-22,September,Friday,Weekday
185,TXN_3858209,Sandwich,Food,4,4,16.00,High,Cash,Cash,Unknown,2023-02-22,February,Wednesday,Weekday
186,TXN_6446616,Tea,Drink,3,1.5,4.50,Low,Unknown,Unknown,Unknown,2023-09-30,September,Saturday,Weekend
188,TXN_1721827,Cake,Dessert,4,3,12.00,Medium,"Digital Wallet",Electronic,Unknown,2023-08-22,August,Tuesday,Weekday
189,TXN_8735480,Tea,Drink,5,1.5,7.50,Medium,Cash,Cash,Unknown,2023-06-02,June,Friday,Weekday
190,TXN_6334895,Smoothie,Drink,1,4,4.00,Low,"Credit Card",Electronic,Unknown,2023-07-27,July,Thursday,Weekday
191,TXN_3829165,Juice,Drink,4,3,12.00,Medium,Cash,Cash,In-store,2023-06-15,June,Thursday,Weekday
192,TXN_7077119,Unknown,Unknown,1,4,4.00,Low,"Digital Wallet",Electronic,In-store,2023-12-30,December,Saturday,Weekend
193,TXN_3748616,Coffee,Drink,2,2,4.00,Low,"Credit Card",Electronic,In-store,2023-12-09,December,Saturday,Weekend
194,TXN_4700144,Coffee,Drink,4,2,8.00,Medium,Unknown,Unknown,In-store,2023-12-21,December,Thursday,Weekday
195,TXN_1993289,Sandwich,Food,2,4,8.00,Medium,Unknown,Unknown,In-store,2023-04-18,April,Tuesday,Weekday
196,TXN_5526852,Sandwich,Food,5,4,20.00,High,"Digital Wallet",Electronic,In-store,2023-09-28,September,Thursday,Weekday
197,TXN_2123367,Cookie,Dessert,2,1,2.00,Low,Unknown,Unknown,Unknown,2023-11-07,November,Tuesday,Weekday
198,TXN_8570890,Juice,Drink,4,3,12.00,Medium,Unknown,Unknown,Unknown,2023-04-14,April,Friday,Weekday
199,TXN_3205009,Unknown,Unknown,2,1.5,3.00,Low,Cash,Cash,In-store,2023-01-03,January,Tuesday,Weekday
200,TXN_5266394,Cake,Dessert,3,3,9.00,Medium,Cash,Cash,In-store,2023-10-28,October,Saturday,Weekend
201,TXN_3786188,Tea,Drink,3,1.5,4.50,Low,"Credit Card",Electronic,In-store,2023-10-20,October,Friday,Weekday
202,TXN_4530804,Coffee,Drink,4,2,8.00,Medium,Unknown,Unknown,Unknown,2023-01-12,January,Thursday,Weekday
203,TXN_5107946,Cake,Dessert,4,3,12.00,Medium,"Credit Card",Electronic,Unknown,2023-12-22,December,Friday,Weekday
204,TXN_9642066,Sandwich,Food,3,4,12.00,Medium,"Credit Card",Electronic,In-store,2023-08-31,August,Thursday,Weekday
205,TXN_8718498,Cake,Dessert,5,3,15.00,High,"Credit Card",Electronic,Unknown,2023-04-30,April,Sunday,Weekend
206,TXN_7328294,Juice,Drink,2,3,6.00,Medium,Cash,Cash,Unknown,2023-07-07,July,Friday,Weekday
207,TXN_3955361,Cookie,Dessert,5,1,5.00,Medium,Unknown,Unknown,Takeaway,2023-04-02,April,Sunday,Weekend
209,TXN_9487821,Unknown,Unknown,1,5,5.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-05-24,May,Wednesday,Weekday
210,TXN_9238066,Unknown,Unknown,5,1.5,7.50,Medium,"Digital Wallet",Electronic,In-store,2023-09-15,September,Friday,Weekday
211,TXN_4132730,Unknown,Unknown,5,1,5.00,Medium,Unknown,Unknown,In-store,2023-03-12,March,Sunday,Weekend
212,TXN_5415901,Cake,Dessert,2,3,6.00,Medium,"Digital Wallet",Electronic,Unknown,2023-10-21,October,Saturday,Weekend
213,TXN_8976658,Tea,Drink,2,1.5,3.00,Low,"Credit Card",Electronic,In-store,2023-08-16,August,Wednesday,Weekday
214,TXN_6714420,Unknown,Unknown,2,3,6.00,Medium,"Credit Card",Electronic,Takeaway,2023-03-30,March,Thursday,Weekday
215,TXN_6616971,Juice,Drink,2,3,6.00,Medium,"Digital Wallet",Electronic,Takeaway,2023-09-02,September,Saturday,Weekend
216,TXN_7803615,Salad,Food,3,5,15.00,High,Cash,Cash,In-store,2023-12-13,December,Wednesday,Weekday
217,TXN_5455936,Unknown,Unknown,5,3,15.00,High,Unknown,Unknown,In-store,2023-10-28,October,Saturday,Weekend
219,TXN_3544789,Tea,Drink,4,1.5,6.00,Medium,Unknown,Unknown,In-store,2023-07-14,July,Friday,Weekday
220,TXN_2725602,Juice,Drink,5,3,15.00,High,"Credit Card",Electronic,Unknown,2023-09-10,September,Sunday,Weekend
221,TXN_1583597,Salad,Food,1,5,5.00,Medium,Cash,Cash,In-store,2023-05-10,May,Wednesday,Weekday
222,TXN_3011323,Coffee,Drink,3,2,6.00,Medium,"Credit Card",Electronic,Unknown,2023-03-07,March,Tuesday,Weekday
223,TXN_8472308,Cookie,Dessert,2,1,2.00,Low,"Digital Wallet",Electronic,Takeaway,2023-08-19,August,Saturday,Weekend
224,TXN_1967565,Smoothie,Drink,5,4,20.00,High,"Credit Card",Electronic,Takeaway,2023-03-31,March,Friday,Weekday
225,TXN_2029497,Sandwich,Food,2,4,8.00,Medium,Cash,Cash,Takeaway,2023-01-06,January,Friday,Weekday
226,TXN_8929774,Unknown,Unknown,3,3,9.00,Medium,Cash,Cash,Unknown,2023-10-02,October,Monday,Weekday
